m,y,tipo,t,nombremes
8,1969,max,37,Agosto
8,1969,max,37.5,Agosto
8,1969,max,38,Agosto
8,1969,max,38,Agosto
8,1969,max,35,Agosto
8,1969,max,35.5,Agosto
8,1969,max,33.5,Agosto
8,1969,max,33,Agosto
8,1969,max,32.5,Agosto
8,1969,max,33,Agosto
8,1969,max,36.5,Agosto
8,1969,max,40,Agosto
8,1969,max,44.5,Agosto
8,1969,max,43.5,Agosto
8,1969,max,42,Agosto
8,1969,max,36,Agosto
8,1969,max,36,Agosto
8,1969,max,33,Agosto
8,1969,max,32,Agosto
8,1969,max,31,Agosto
8,1969,max,29,Agosto
8,1969,max,30.5,Agosto
8,1969,max,34,Agosto
9,1969,max,40,Septiembre
9,1969,max,39,Septiembre
9,1969,max,36,Septiembre
9,1969,max,37.5,Septiembre
9,1969,max,36.5,Septiembre
9,1969,max,37.5,Septiembre
9,1969,max,36.5,Septiembre
9,1969,max,39,Septiembre
9,1969,max,40,Septiembre
9,1969,max,40,Septiembre
9,1969,max,34.5,Septiembre
9,1969,max,35,Septiembre
9,1969,max,34,Septiembre
9,1969,max,28.5,Septiembre
9,1969,max,28.5,Septiembre
9,1969,max,27,Septiembre
9,1969,max,30,Septiembre
9,1969,max,32.5,Septiembre
9,1969,max,27.5,Septiembre
9,1969,max,23,Septiembre
9,1969,max,24.5,Septiembre
9,1969,max,27,Septiembre
9,1969,max,29.5,Septiembre
9,1969,max,31,Septiembre
9,1969,max,30,Septiembre
9,1969,max,29,Septiembre
9,1969,max,35,Septiembre
9,1969,max,39,Septiembre
9,1969,max,40,Septiembre
9,1969,max,37.5,Septiembre
10,1969,max,32,Octubre
10,1969,max,24,Octubre
10,1969,max,24,Octubre
10,1969,max,21,Octubre
10,1969,max,30,Octubre
10,1969,max,32.5,Octubre
10,1969,max,33,Octubre
10,1969,max,33,Octubre
10,1969,max,29.5,Octubre
10,1969,max,26,Octubre
10,1969,max,25,Octubre
10,1969,max,26,Octubre
10,1969,max,24,Octubre
10,1969,max,25,Octubre
10,1969,max,26,Octubre
10,1969,max,28,Octubre
10,1969,max,23.5,Octubre
10,1969,max,18.5,Octubre
10,1969,max,21.5,Octubre
10,1969,max,24,Octubre
10,1969,max,22.5,Octubre
10,1969,max,23,Octubre
10,1969,max,26,Octubre
10,1969,max,24.5,Octubre
10,1969,max,23.5,Octubre
10,1969,max,24,Octubre
10,1969,max,25.5,Octubre
10,1969,max,24.5,Octubre
10,1969,max,32,Octubre
10,1969,max,32,Octubre
10,1969,max,32.5,Octubre
11,1969,max,32.5,Noviembre
11,1969,max,31,Noviembre
11,1969,max,30.5,Noviembre
11,1969,max,28,Noviembre
11,1969,max,20,Noviembre
11,1969,max,19,Noviembre
11,1969,max,19,Noviembre
11,1969,max,17.5,Noviembre
11,1969,max,21.5,Noviembre
11,1969,max,23.5,Noviembre
11,1969,max,26,Noviembre
11,1969,max,23.5,Noviembre
11,1969,max,27,Noviembre
11,1969,max,27.5,Noviembre
11,1969,max,18,Noviembre
11,1969,max,17,Noviembre
11,1969,max,22.5,Noviembre
11,1969,max,19,Noviembre
11,1969,max,21.5,Noviembre
11,1969,max,26,Noviembre
11,1969,max,22,Noviembre
11,1969,max,24,Noviembre
11,1969,max,25,Noviembre
11,1969,max,25.5,Noviembre
11,1969,max,26,Noviembre
11,1969,max,26,Noviembre
11,1969,max,25.5,Noviembre
11,1969,max,20.5,Noviembre
11,1969,max,19.5,Noviembre
11,1969,max,21.5,Noviembre
12,1969,max,22.5,Diciembre
12,1969,max,23,Diciembre
12,1969,max,17,Diciembre
12,1969,max,20.5,Diciembre
12,1969,max,20,Diciembre
12,1969,max,20,Diciembre
12,1969,max,20,Diciembre
12,1969,max,16.5,Diciembre
12,1969,max,17,Diciembre
12,1969,max,16,Diciembre
12,1969,max,21,Diciembre
12,1969,max,23.5,Diciembre
12,1969,max,25,Diciembre
12,1969,max,24.5,Diciembre
12,1969,max,26,Diciembre
12,1969,max,24.5,Diciembre
12,1969,max,18,Diciembre
12,1969,max,21,Diciembre
12,1969,max,18.5,Diciembre
12,1969,max,24.5,Diciembre
12,1969,max,26,Diciembre
12,1969,max,22,Diciembre
12,1969,max,20,Diciembre
12,1969,max,20.5,Diciembre
12,1969,max,25,Diciembre
12,1969,max,21,Diciembre
12,1969,max,NA,Diciembre
12,1969,max,13,Diciembre
12,1969,max,14,Diciembre
12,1969,max,16,Diciembre
12,1969,max,19,Diciembre
1,1970,max,18,Enero 
1,1970,max,15.5,Enero 
1,1970,max,17,Enero 
1,1970,max,13.5,Enero 
1,1970,max,17,Enero 
1,1970,max,19,Enero 
1,1970,max,20.5,Enero 
1,1970,max,19,Enero 
1,1970,max,18,Enero 
1,1970,max,15,Enero 
1,1970,max,16,Enero 
1,1970,max,18,Enero 
1,1970,max,16.5,Enero 
1,1970,max,18,Enero 
1,1970,max,20,Enero 
1,1970,max,18.5,Enero 
1,1970,max,17,Enero 
1,1970,max,19,Enero 
1,1970,max,21.5,Enero 
1,1970,max,22.5,Enero 
1,1970,max,25,Enero 
1,1970,max,26,Enero 
1,1970,max,22.5,Enero 
1,1970,max,24,Enero 
1,1970,max,22,Enero 
1,1970,max,24,Enero 
1,1970,max,21,Enero 
1,1970,max,24,Enero 
1,1970,max,26.5,Enero 
1,1970,max,24,Enero 
1,1970,max,22,Enero 
2,1970,max,22.5,Febrero
2,1970,max,18.5,Febrero
2,1970,max,26,Febrero
2,1970,max,22,Febrero
2,1970,max,22.5,Febrero
2,1970,max,25.5,Febrero
2,1970,max,29,Febrero
2,1970,max,29,Febrero
2,1970,max,23,Febrero
2,1970,max,19,Febrero
2,1970,max,19.5,Febrero
2,1970,max,19,Febrero
2,1970,max,18.5,Febrero
2,1970,max,18,Febrero
2,1970,max,23,Febrero
2,1970,max,25,Febrero
2,1970,max,21,Febrero
2,1970,max,22,Febrero
2,1970,max,19,Febrero
2,1970,max,21,Febrero
2,1970,max,19.5,Febrero
2,1970,max,21.5,Febrero
2,1970,max,23,Febrero
2,1970,max,24,Febrero
2,1970,max,26.5,Febrero
2,1970,max,23,Febrero
2,1970,max,19.5,Febrero
2,1970,max,22,Febrero
3,1970,max,16,Marzo
3,1970,max,12,Marzo
3,1970,max,14,Marzo
3,1970,max,13,Marzo
3,1970,max,15,Marzo
3,1970,max,23,Marzo
3,1970,max,22,Marzo
3,1970,max,24.5,Marzo
3,1970,max,16,Marzo
3,1970,max,12,Marzo
3,1970,max,18,Marzo
3,1970,max,21.5,Marzo
3,1970,max,26.5,Marzo
3,1970,max,28,Marzo
3,1970,max,23,Marzo
3,1970,max,28,Marzo
3,1970,max,23,Marzo
3,1970,max,23,Marzo
3,1970,max,22,Marzo
3,1970,max,22.5,Marzo
3,1970,max,25,Marzo
3,1970,max,24.5,Marzo
3,1970,max,29,Marzo
3,1970,max,25.5,Marzo
3,1970,max,25,Marzo
3,1970,max,19,Marzo
3,1970,max,23.5,Marzo
3,1970,max,23,Marzo
3,1970,max,17.5,Marzo
3,1970,max,16,Marzo
