"","Meses","mes","año","mesp"
"194","Mayo",5,"1986",0
"195","Mayo",5,"1987",3
"196","Mayo",5,"1988",0
"197","Mayo",5,"1989",1.6
"198","Mayo",5,"1990",6.5
"199","Mayo",5,"1991",0.2
"200","Mayo",5,"1992",19.7
"201","Mayo",5,"1993",3
"202","Mayo",5,"1994",0
"203","Mayo",5,"1995",11
"204","Mayo",5,"1996",0
"205","Mayo",5,"1997",0
"206","Mayo",5,"1998",17.1
"207","Mayo",5,"1999",0.1
"208","Mayo",5,"2000",0
"209","Mayo",5,"2001",0
"210","Mayo",5,"2002",0
"211","Mayo",5,"2003",3
"212","Mayo",5,"2004",0
"213","Mayo",5,"2005",3.5
"214","Mayo",5,"2006",16
"215","Mayo",5,"2007",3.8
"216","Mayo",5,"2008",8.7
"217","Mayo",5,"2009",0
"218","Mayo",5,"2010",0
"219","Mayo",5,"2011",32.7
"220","Mayo",5,"2012",0
"221","Junio",6,"1969",0
"222","Junio",6,"1970",0
"223","Junio",6,"1971",0
"224","Junio",6,"1972",43
"225","Junio",6,"1973",0
"226","Junio",6,"1974",0
"227","Junio",6,"1975",1
"228","Junio",6,"1976",0
"229","Junio",6,"1977",2.8
"230","Junio",6,"1978",0
"231","Junio",6,"1979",0
"232","Junio",6,"1980",0
"233","Junio",6,"1981",0
"235","Junio",6,"1983",0
"236","Junio",6,"1984",0
"237","Junio",6,"1985",0
"238","Junio",6,"1986",0
"239","Junio",6,"1987",0
"240","Junio",6,"1988",0
"241","Junio",6,"1989",0
"242","Junio",6,"1990",3
"243","Junio",6,"1991",0
"244","Junio",6,"1992",0
"245","Junio",6,"1993",3.5
"246","Junio",6,"1994",0
"247","Junio",6,"1995",5.5
"248","Junio",6,"1996",0
"249","Junio",6,"1997",4.7
"250","Junio",6,"1998",0.2
"251","Junio",6,"1999",1.5
"252","Junio",6,"2000",12.5
"253","Junio",6,"2001",0
"254","Junio",6,"2002",0
"255","Junio",6,"2003",0
"256","Junio",6,"2004",0
"257","Junio",6,"2005",0
"258","Junio",6,"2006",0
"259","Junio",6,"2007",0
"260","Junio",6,"2008",2.1
"261","Junio",6,"2009",1
"262","Junio",6,"2010",0
"263","Junio",6,"2011",0
"264","Junio",6,"2012",0
"265","Julio",7,"1969",0
"266","Julio",7,"1970",0
"267","Julio",7,"1971",0
"268","Julio",7,"1972",0
"269","Julio",7,"1973",0
"270","Julio",7,"1974",39
"271","Julio",7,"1975",1.5
"272","Julio",7,"1976",3.9
"273","Julio",7,"1977",0
"274","Julio",7,"1978",0
"275","Julio",7,"1979",4.5
"276","Julio",7,"1980",2
"277","Julio",7,"1981",0
"278","Julio",7,"1982",0
"279","Julio",7,"1983",0
"280","Julio",7,"1984",6.8
"281","Julio",7,"1985",10
"282","Julio",7,"1986",1.5
"283","Julio",7,"1987",0
"284","Julio",7,"1988",5.5
"285","Julio",7,"1989",0.1
"286","Julio",7,"1990",0.1
"287","Julio",7,"1991",21.7
"288","Julio",7,"1992",0.2
"289","Julio",7,"1993",0
"290","Julio",7,"1994",0
"291","Julio",7,"1995",1.5
"292","Julio",7,"1996",0.1
"293","Julio",7,"1997",0
"294","Julio",7,"1998",0.2
"295","Julio",7,"1999",4.6
"296","Julio",7,"2000",0
"297","Julio",7,"2001",5
"298","Julio",7,"2002",3.5
"299","Julio",7,"2003",11
"300","Julio",7,"2004",0
"301","Julio",7,"2005",0.5
"302","Julio",7,"2006",0
"303","Julio",7,"2007",0
"304","Julio",7,"2008",0
"305","Julio",7,"2009",0
"306","Julio",7,"2010",1.5
"307","Julio",7,"2011",3.7
"308","Julio",7,"2012",0
"309","Agosto",8,"1969",0
"310","Agosto",8,"1970",2.5
"311","Agosto",8,"1971",4
"312","Agosto",8,"1972",0
"313","Agosto",8,"1973",0.5
"314","Agosto",8,"1974",0
"315","Agosto",8,"1975",3
"316","Agosto",8,"1976",0.4
"317","Agosto",8,"1977",89
"318","Agosto",8,"1978",0
"319","Agosto",8,"1979",0
"320","Agosto",8,"1980",0
"321","Agosto",8,"1981",0
"322","Agosto",8,"1982",0
